SKU;Modelo;MAE;RMSE;MAPE
7535;SARIMA Mensal (m=30);8.933333333333334;11.301917241483116;44.53%
7535;ARIMA Simples;8.933333333333334;11.301917241483116;44.53%
7535;Media Movel (7 dias);9.457142857142857;11.466544058828765;48.20%
7535;Suavizacao Exponencial;7.009584221676533;10.203878143438837;31.76%
811077;SARIMA Mensal (m=30);8.0;21.908902300206645;11.11%
811077;ARIMA Simples;8.0;21.908902300206645;11.11%
811077;Media Movel (7 dias);8.0;21.908902300206645;11.11%
811077;Suavizacao Exponencial;8.291574041318446;21.88349877910376;13.61%
811076;SARIMA Mensal (m=30);8.0;21.908902300206645;44.44%
811076;ARIMA Simples;8.0;21.908902300206645;44.44%
811076;Media Movel (7 dias);42.28571428571429;46.947647786157106;107.94%
811076;Suavizacao Exponencial;11.630679938326713;23.4726729973629;50.87%
MK380;SARIMA Mensal (m=30);11.1;12.605554331325537;27.21%
MK380;ARIMA Simples;11.1;12.605554331325537;27.21%
MK380;Media Movel (7 dias);11.1;12.605554331325537;27.21%
MK380;Suavizacao Exponencial;8.02561230845653;10.694903573826206;20.45%
10841;SARIMA Mensal (m=30);12.366666666666667;15.65779890874406;45.30%
10841;ARIMA Simples;12.366666666666667;15.65779890874406;45.30%
10841;Media Movel (7 dias);12.938095238095233;16.11293054078757;47.03%
10841;Suavizacao Exponencial;11.325272724993338;14.34697262403676;41.58%
0904;SARIMA Mensal (m=30);14.533333333333333;17.689921801221544;53.31%
0904;ARIMA Simples;14.533333333333333;17.689921801221544;53.31%
0904;Media Movel (7 dias);14.533333333333333;17.689921801221544;53.31%
0904;Suavizacao Exponencial;15.015137040305119;18.61385051138503;55.72%
7460;SARIMA Mensal (m=30);14.674455056497662;15.787589179765407;21.31%
7460;ARIMA Simples;14.674455056497662;15.787589179765407;21.31%
7460;Media Movel (7 dias);44.4904761904762;51.801235769148256;77.62%
7460;Suavizacao Exponencial;38.900111482052985;49.850096506062485;72.25%
811080;SARIMA Mensal (m=30);16.0;19.595917942265423;16.67%
811080;ARIMA Simples;16.0;19.595917942265423;16.67%
811080;Media Movel (7 dias);16.0;19.595917942265423;16.67%
811080;Suavizacao Exponencial;15.623654990115332;18.26343988524467;16.54%
899507;SARIMA Mensal (m=30);16.066666666666666;20.220451692943623;28.05%
899507;ARIMA Simples;16.066666666666666;20.220451692943623;28.05%
899507;Media Movel (7 dias);18.638095238095232;22.318321688540944;32.02%
899507;Suavizacao Exponencial;19.00817381141519;22.35054110472478;32.42%
2202;SARIMA Mensal (m=30);16.73869525850387;22.289756385771348;21.10%
2202;ARIMA Simples;16.73869525850387;22.289756385771348;21.10%
2202;Media Movel (7 dias);26.63333333333334;30.068119940140818;39.63%
2202;Suavizacao Exponencial;20.889286980318442;24.610350342140364;31.53%
